Name,short_description,longitude,latitude,Country name,Region
Tusi Sites,"<p>Located in the mountainous areas of south-west China, this property encompasses remains of several tribal domains whose chiefs were appointed by the central government as ‘Tusi’, hereditary rulers from the 13<sup>th</sup> to the early 20<sup>th</sup>century. The Tusi system arose from the ethnic minorities’ dynastic systems of government dating back to the 3<sup>rd</sup> century BCE. Its purpose was to unify national administration, while allowing ethnic minorities to retain their customs and way of life. The sites of Laosicheng, Tangya and Hailongtun Fortress that make up the site bear exceptional testimony to this form of governance, which derived from the Chinese civilization of the Yuan and Ming periods.</p>",109.9669444,28.99861111,China,Asia and the Pacific
"Christiansfeld, a Moravian Church Settlement","<p>Founded in 1773 in South Jutland, the site is an example of a planned settlement of the Moravian Church, a Lutheran free congregation centred in Herrnhut, Saxony. The town was planned to represent the Protestant urban ideal, constructed around a central Church square. The architecture is homogenous and unadorned, with one and two-storey buildings in yellow brick with red tile roofs. The democratic organization of the Moravian Church, with its pioneering egalitarian philosophy, is expressed in its humanistic town planning. The settlement’s plan opens onto agricultural land and includes important buildings for the common welfare such as large communal houses for the congregation’s widows and unmarried men and women. The buildings are still in use and many are still owned by the local Moravian Church community .</p>",9.481388889,55.35555556,Denmark,Europe and North America
The par force hunting landscape in North Zealand,"<p>Located about 30 km northeast of Copenhagen, this cultural landscape encompasses the two hunting forests of Store Dyrehave and Gribskov, as well as the hunting park of Jægersborg Hegn/Jægersborg Dyrehave. This is a designed landscape where Danish kings and their court practiced par force hunting, or hunting with hounds, which reached its peak between the 17th and the late 18th centuries, when the absloute monarchs transformed it into a landscape of power. With hunting lanes laid out in a star system, combined with an orthogonal grid pattern, numbered stone posts, fences and a hunting lodge, the site demonstrates the application of Baroque landscaping principles to forested areas.</p>",12.35777778,55.91361111,Denmark,Europe and North America
"The Climats, terroirs of Burgundy","<p>The climates are precisely delimited vineyard parcels on the slopes of the Côte de Nuits and the Côte de Beaune south of the city of Dijon. They differ from one another due to specific natural conditions (geology and exposure) as well as vine types and have been shaped by human cultivation. Over time they came to be recognized by the wine they produce. This cultural landscape consists of two parts. Firstly, the vineyards and associated production units including villages and the town of Beaune, which together represent the commercial dimension of the production system. The second part includes the historic centre of Dijon, which embodies the political regulatory impetus that gave birth to the climats system. The site is an outstanding example of grape cultivation and wine production developed since the High Middle Ages.</p>",4.864444444,47.05805556,France,Europe and North America
"Champagne Hillsides, Houses and Cellars","<p><span>The property encompasses sites where the method of producing sparkling wines was developed on the principle of secondary fermentation in the bottle since the early 17</span><sup>th</sup><span> century to its early industrialization in the 19</span><sup>th</sup><span> century. The property is made up of three distinct ensembles: the historic vineyards of Hautvillers, Aÿ and Mareuil-sur-Aÿ, Saint-Nicaise Hill in Reims, and the Avenue de Champagne and Fort Chabrol in Epernay. These three components – the supply basin formed by the historic hillsides, the production sites (with their underground cellars) and the sales and distribution centres (the Champagne Houses) - illustrate the entire champagne production process. The property bears clear testimony to the development of a very specialized artisan activity that has become an agro-industrial enterprise.</span></p>",3.946111111,49.0775,France,Europe and North America
Speicherstadt and Kontorhaus District with Chilehaus,"<p>Speicherstadt and the adjacent Kontorhaus district are two densely built urban areas in the centre of the port city of Hamburg. Speicherstadt, originally developed on a group of narrow islands in the Elbe River between 1885 and 1927, was partly rebuilt from 1949 to 1967. It is one of the largest coherent historic ensembles of port warehouses in the world (300,000 m<sup>2</sup>). It includes 15 very large warehouse blocks as well as six ancillary buildings and a connecting network of short canals. Adjacent to the modernist Chilehaus office building, the Kontorhaus district is an area of over five hectares featuring six very large office complexes built from the 1920s to the 1940s to house port-related businesses. The complex exemplifies the effects of the rapid growth in international trade in the late 19th and early 20th centuries.</p>",9.999444444,53.54555556,Germany,Europe and North America
Cultural Landscape of Maymand,"<p><span>Maymand is a self-contained, semi-arid area at the end of a valley at the southern extremity of Iran’s central mountains. The villagers are semi-nomadic agro-pastoralists. They raise their animals on mountain pastures, living in temporary settlements in spring and autumn. During the winter months they live lower down the valley in cave dwellings carved out of the soft rock (</span><em>kamar</em><span>), an unusual form of housing in a dry, desert environment.  This cultural landscape is an example of a system that appears to have been more widespread in the past and involves the movement of people rather than animals.</span></p>",55.37555556,30.16805556,Iran (Islamic Republic of),Asia and the Pacific
Susa,"<p>Located in the south-west of Iran, in the lower Zagros Mountains, the property encompasses a group of archaeological mounds rising on the eastern side of the Shavur River, as well as Ardeshir’s palace, on the opposite bank of the river. The excavated architectural monuments include administrative, residential and palatial structures. Susa contains several layers of superimposed urban settlements in a continuous succession from the late 5<sup>th</sup> millennium BCE until the 13<sup>th</sup> century CE. The site bears exceptional testimony to the Elamite, Persian and Parthian cultural traditions, which have largely disappeared.</p>",48.25611111,32.18944444,Iran (Islamic Republic of),Asia and the Pacific
Aqueduct of Padre Tembleque Hydraulic System,"<p>This 16<sup>th</sup> century aqueduct is located between the states of Mexico and Hidalgo, on the Central Mexican Plateau. This heritage canal system encompasses a water catchment area, springs, canals, distribution tanks and arcaded aqueduct bridges. The site incorporates the highest single-level arcade ever built in an aqueduct. Initiated by the Franciscan friar, Padre Tembleque, and built with support from the local indigenous communities, this hydraulic system is an example of the exchange of influences between the European tradition of Roman hydraulics and traditional Mesoamerican construction techniques, including the use of adobe.</p>",-98.66256667,19.83527778,Mexico,Latin America and the Caribbean
Great Burkhan Khaldun Mountain and its surrounding sacred landscape,"<p>The site is situated in the north-east of the country in the central part of the Khentii mountain chain where the vast Central Asian steppe meets the coniferous forests of the Siberian taiga. Burkhan Khaldun is associated with the worship of sacred mountains, rivers and <em>ovoo-s</em><span> (shamanic rock cairns), in which ceremonies have been shaped by a fusion of ancient shamanic and Buddhist practices. The site is also believed to be the place of Genghis Khan’s birth and burial. It testifies to his efforts to establish mountain worship as an important part of the unification of the Mongol people.</span></p>",109.0093278,48.76197778,Mongolia,Asia and the Pacific
Rjukan-Notodden Industrial Heritage Site,"<p><span>Located in a dramatic landscape of mountains, waterfalls and river valleys, the site comprises hydroelectric power plants, transmission lines, factories, transport systems and towns. The complex was established by the Norsk-Hydro Company to manufacture artificial fertilizer from nitrogen in the air. It was built to meet the Western world’s growing demand for agricultural production in the early 20</span><sup>th</sup><span> century. The company towns of Rjukan and Notodden show workers’ accommodation and social institutions linked by rail and ferry to ports where the fertilizer was loaded. The Rjukan-Notodden site manifests an exceptional combination of industrial assets and themes associated to the natural landscape. It stands out as an example of a new global industry in the early 20</span><sup>th</sup><span> century.</span></p>",8.593611111,59.87861111,Norway,Europe and North America
Baekje Historic Areas,"<p>Located in the mountainous mid-western region of the Republic of Korea, this property comprises eight archaeological sites dating from 475 to 660 CE, including the Gongsanseong fortress and royal tombs at Songsan-ri related to the capital, Ungjin (present day Gongju), the Busosanseong Fortress and Gwanbuk-ri administrative buildings, the Jeongnimsa Temple, the royal tombs in Neungsan-ri and the Naseong city wall related to the capital, Sabi (now Buyeo), the royal palace at Wanggung-ri and the Mireuksa Temple in Iksan related to the secondary Sabi capital. Together, these sites represent the later period of the Baekje Kingdom – one of the three earliest kingdoms on the Korean peninsula (18 BCE to 660 CE) - during which time they were at the crossroads of considerable technological, religious (Buddhist), cultural and artistic exchanges between the ancient East Asian kingdoms in Korea, China and Japan.</p>",127.1272222,36.46194444,Republic of Korea,Asia and the Pacific
Rock Art in the Hail Region of Saudi Arabia,"<p>This property includes two components situated in a desert landscape: Jabel Umm Sinman at Jubbah and the Jabal al-Manjor and Raat at Shuwaymis. A lake once situated at the foot of the Umm Sinman hill range that has now disappeared used to be a source of fresh water for people and animals in the southern part of the Great Narfoud Desert. The ancestors of today’s Arab populations have left traces of their passages in numerous petroglyphs and inscriptions on the rock face. Jabal al-Manjor and Raat form the rocky escarpment of a <em>wadi</em> now covered in sand. They show numerous representations of human and animal figures covering 10,000 years of history.</p>",40.91305556,28.01055556,Saudi Arabia,Arab States
Singapore Botanic Gardens,"<p>Situated at the heart of the city of Singapore, the site demonstrates the evolution of a British tropical colonial botanic garden that has become a modern world-class scientific institution used for both conservation and education. The cultural landscape includes a rich variety of historic features, plantings and buildings that demonstrate the development of the garden since its creation in 1859. It has been an important centre for science, research and plant conservation, notably in connection with the cultivation of rubber plantations, in Southeast Asia since 1875.</p>",103.8161111,1.315277778,Singapore,Asia and the Pacific
San Antonio Missions,"<p>The site encompasses a group of five frontier mission complexes situated along a stretch of the San Antonio River basin in southern Texas, as well as a ranch located 37 kilometres to the south. It includes architectural and archaeological structures, farmlands, residencies, churches and granaries, as well as water distribution systems. The complexes were built by Franciscan missionaries in the 18<sup>th</sup> century and illustrate the Spanish Crown’s efforts to colonize, evangelize and defend the northern frontier of New Spain. The San Antonio Missions are also an example of the interweaving of Spanish and Coahuiltecan cultures, illustrated by a variety of features, including the decorative elements of churches, which combine Catholic symbols with indigenous designs inspired by nature.</p>",-98.46,29.32805556,United States of America,Europe and North America
Fray Bentos Industrial Landscape,"<p>Located on land projecting into the Uruguay River west of the town of Fray Bentos, the industrial complex was built following the development of a factory founded in 1859 to process meat produced on the vast prairies nearby. The site illustrates the whole process of meat sourcing, processing, packing and dispatching. It includes buildings and equipment of the Liebig Extract of Meat Company, which exported meat extract and corned-beef to the European market from 1865 and the Anglo Meat Packing Plant, which exported frozen meat from 1924. Through its physical location, industrial and residential buildings as well as social institutions, the site presents an illustration of the entire process of meat production on a global scale.</p>",-58.33166667,-33.11777778,Uruguay,Latin America and the Caribbean
Antigua Naval Dockyard and Related Archaeological Sites,"<p>The site consists of a group of Georgian-style naval buildings and structures, set within a walled enclosure. The natural environment of this side of the island of Antigua, with its deep, narrow bays surrounded by highlands, offered shelter from hurricanes and was ideal for repairing ships. The construction of the Dockyard by the British navy would not have been possible without the labour of generations of enslaved Africans since the end of the 18th century. Its aim was to protect the interests of sugar cane planters at a time when European powers were competing for control of the Eastern Caribbean.</p>",-61.76166667,17.00694444,Antigua and Barbuda,Latin America and the Caribbean
Pampulha Modern Ensemble,"<p>The Pampulha Modern Ensemble was the centre of a visionary garden city project created in 1940 at Belo Horizonte, the capital of Minas Gerais State. Designed around an artificial lake, this cultural and leisure centre included a casino, a ballroom, the Golf Yacht Club and the São Francisco de Assis church. The buildings were designed by architect Oscar Niemeyer, in collaboration with innovative artists. The Ensemble comprises bold forms that exploit the plastic potential of concrete, while fusing architecture, landscape design, sculpture and painting into a harmonious whole. It reflects the influence of local traditions, the Brazilian climate and natural surroundings on the principles of modern architecture.</p>",-43.97361111,-19.85194444,Brazil,Latin America and the Caribbean
"Archaeological Site of Nalanda Mahavihara at Nalanda, Bihar","<p>The Nalanda Mahavihara site is in the State of Bihar, in north-eastern India. It comprises the archaeological remains of a monastic and scholastic institution dating from the 3rd century BCE to the 13th century CE. It includes <em>stupas</em>, shrines, <em>viharas</em> (residential and educational buildings) and important art works in stucco, stone and metal. Nalanda stands out as the most ancient university of the Indian Subcontinent. It engaged in the organized transmission of knowledge over an uninterrupted period of 800 years. The historical development of the site testifies to the development of Buddhism into a religion and the flourishing of monastic and educational traditions.</p>",85.44388889,25.13666667,India,Asia and the Pacific
The Persian Qanat,"<p>Throughout the arid regions of Iran, agricultural and permanent settlements are supported by the ancient qanat system of tapping alluvial aquifers at the heads of valleys and conducting the water along underground tunnels by gravity, often over many kilometres. The eleven qanats representing this system include rest areas for workers, water reservoirs and watermills. The traditional communal management system still in place allows equitable and sustainable water sharing and distribution. The qanats provide exceptional testimony to cultural traditions and civilizations in desert areas with an arid climate.</p>",58.65444444,34.29,Iran (Islamic Republic of),Asia and the Pacific
Nan Madol: Ceremonial Centre of Eastern Micronesia,"<p>Nan Madol is a series of more than 100 islets off the south-east coast of Pohnpei that were constructed with walls of basalt and coral boulders. These islets harbour the remains of stone palaces, temples, tombs and residential domains built between 1200 and 1500 CE. These ruins represent the ceremonial centre of the Saudeleur dynasty, a vibrant period in Pacific Island culture. The huge scale of the edifices, their technical sophistication and the concentration of megalithic structures bear testimony to complex social and religious practices of the island societies of the period. The site was also inscribed on the List of World Heritage in Danger due to threats, notably the siltation of waterways that is contributing to the unchecked growth of mangroves and undermining existing edifices.</p>",158.3308333,6.839722222,Micronesia (Federated States of),Asia and the Pacific
Antequera Dolmens Site,"<p>Located at the heart of Andalusia in southern Spain, the site comprises three megalithic monuments: the Menga and Viera dolmens and the <i>Tholos</i> of El Romeral, and two natural monuments: La Peña de los Enamorados and El Torcal mountainous formations, which are landmarks within the property. Built during the Neolithic and Bronze Age out of large stone blocks, these monuments form chambers with lintelled roofs or false cupolas. These three tombs, buried beneath their original earth tumuli, are one of the most remarkable architectural works of European prehistory and one of the most important examples of European Megalithism.</p>",-4.544444444,37.025,Spain,Europe and North America
